Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_Mobile_TestSuite,,,,2022-05-21 12:57:41,2022-05-21 12:59:34,1m - 52.620s,FAILED
,,,,,,,
Test Cases/Customer/Registration,,,,2022-05-21 12:57:41,2022-05-21 12:58:10,28.561s,PASSED
"startApplication(""C:\Users\prabh\Documents\GitHub\SwapMateMobile\build\app\outputs\flutter-apk\app.apk"", true)",,,,2022-05-21 12:57:41,2022-05-21 12:57:57,15.216s,PASSED
"tapAndHold(findTestObject(""Register/android.widget.Button""), 0, 0)",,,,2022-05-21 12:57:57,2022-05-21 12:57:59,2.799s,PASSED
"tap(findTestObject(""Object Repository/Register/android.widget.EditText - E-mail Address (1)""), 0)",,,,2022-05-21 12:57:59,2022-05-21 12:58:00,0.783s,PASSED
"setText(findTestObject(""Object Repository/Register/android.widget.EditText - E-mail Address""), ""testing@gmail.com"", 0)",,,,2022-05-21 12:58:00,2022-05-21 12:58:01,1.029s,PASSED
"tap(findTestObject(""Object Repository/Register/android.widget.EditText - Password (1)""), 0)",,,,2022-05-21 12:58:01,2022-05-21 12:58:02,0.754s,PASSED
"setText(findTestObject(""Object Repository/Register/android.widget.EditText - Password""), ""123456"", 0)",,,,2022-05-21 12:58:02,2022-05-21 12:58:03,0.702s,PASSED
"tap(findTestObject(""Object Repository/Register/android.widget.EditText - Re-enter Password (1)""), 0)",,,,2022-05-21 12:58:03,2022-05-21 12:58:03,0.729s,PASSED
"setText(findTestObject(""Object Repository/Register/android.widget.EditText - Re-enter Password""), ""123456"", 0)",,,,2022-05-21 12:58:03,2022-05-21 12:58:04,0.794s,PASSED
hideKeyboard(),,,,2022-05-21 12:58:04,2022-05-21 12:58:06,1.992s,PASSED
"tapAndHold(findTestObject(""Customer/Register/android.widget.Button (1)""), 0, 0)",,,,2022-05-21 12:58:06,2022-05-21 12:58:10,3.480s,PASSED
,,,,,,,
Test Cases/Customer/Update Profile Details,,,,2022-05-21 12:58:10,2022-05-21 12:58:33,22.895s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - First Name""), 0, STOP_ON_FAILURE)",,,,2022-05-21 12:58:10,2022-05-21 12:58:13,3.392s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - First Name""), ""TestingFirstname"", 0)",,,,2022-05-21 12:58:13,2022-05-21 12:58:14,0.735s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - Last Name""), 0)",,,,2022-05-21 12:58:14,2022-05-21 12:58:15,1.028s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - Last Name""), ""TestingLastname"", 0)",,,,2022-05-21 12:58:15,2022-05-21 12:58:16,0.770s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - Address""), 0)",,,,2022-05-21 12:58:16,2022-05-21 12:58:17,1.016s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - Address""), ""18/7, Testing Street, QA"", 0)",,,,2022-05-21 12:58:17,2022-05-21 12:58:18,0.756s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - Contact Number""), 0)",,,,2022-05-21 12:58:18,2022-05-21 12:58:19,1.011s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - Contact Number""), ""0745678932"", 0)",,,,2022-05-21 12:58:19,2022-05-21 12:58:19,0.766s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - Nic""), 0)",,,,2022-05-21 12:58:19,2022-05-21 12:58:20,0.692s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - Nic""), ""200286798484"", 0)",,,,2022-05-21 12:58:20,2022-05-21 12:58:21,0.666s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.EditText - Age""), 0)",,,,2022-05-21 12:58:21,2022-05-21 12:58:21,0.718s,PASSED
"setText(findTestObject(""Customer/Update Profile/android.widget.EditText - Age""), ""26"", 0)",,,,2022-05-21 12:58:21,2022-05-21 12:58:22,0.734s,PASSED
"tap(findTestObject(""Customer/Update Profile/android.view.View (2)""), 0)",,,,2022-05-21 12:58:22,2022-05-21 12:58:23,0.720s,PASSED
"tapAndHold(findTestObject(""Customer/Update Profile/android.view.View (2)""), 0, 0)",,,,2022-05-21 12:58:23,2022-05-21 12:58:26,3.380s,PASSED
"tap(findTestObject(""Object Repository/Customer/Update Profile/android.widget.Button (1)""), 0)",,,,2022-05-21 12:58:26,2022-05-21 12:58:27,0.252s,PASSED
"tapAndHold(findTestObject(""Object Repository/Customer/Update Profile/android.view.View (3)""), 0, 0)",,,,2022-05-21 12:58:27,2022-05-21 12:58:30,3.347s,PASSED
"tapAndHold(findTestObject(""Object Repository/Customer/Update Profile/android.widget.Button (2)""), 0, 0)",,,,2022-05-21 12:58:30,2022-05-21 12:58:33,2.650s,PASSED
,,,,,,,
Test Cases/Customer/Logout,,,,2022-05-21 12:58:33,2022-05-21 12:58:37,4.009s,PASSED
"tap(findTestObject(""Object Repository/Customer/Logout/android.widget.Button""), 0)",,,,2022-05-21 12:58:33,2022-05-21 12:58:34,1.265s,PASSED
"tap(findTestObject(""Object Repository/Customer/Logout/android.view.View""), 0)",,,,2022-05-21 12:58:34,2022-05-21 12:58:36,1.597s,PASSED
closeApplication(),,,,2022-05-21 12:58:36,2022-05-21 12:58:37,0.893s,PASSED
,,,,,,,
Test Cases/Customer/Login,,,,2022-05-21 12:58:37,2022-05-21 12:59:02,24.998s,PASSED
"startApplication(""C:\Users\prabh\Documents\GitHub\SwapMateMobile\build\app\outputs\flutter-apk\app.apk"", true)",,,,2022-05-21 12:58:37,2022-05-21 12:58:51,13.753s,PASSED
"tapAndHold(findTestObject(""Object Repository/Customer/Login/android.widget.Button (1)""), 0, 0)",,,,2022-05-21 12:58:51,2022-05-21 12:58:54,2.963s,PASSED
"tap(findTestObject(""Object Repository/Customer/Login/android.widget.EditText - Username""), 0)",,,,2022-05-21 12:58:54,2022-05-21 12:58:54,0.646s,PASSED
"setText(findTestObject(""Customer/Login/android.widget.EditText - Username""), ""pubzzz2002@gmail.com"", 0)",,,,2022-05-21 12:58:54,2022-05-21 12:58:55,0.904s,PASSED
"tap(findTestObject(""Object Repository/Customer/Login/android.widget.EditText - Password""), 0)",,,,2022-05-21 12:58:55,2022-05-21 12:58:56,0.763s,PASSED
